SHOP_URL,GOODS_NAME,GOODS_URL,SHOP_NAME,COMPANY_NAME,file_urls,COMPANY_ADDRESS,GOODS_PRICE
https://rate.taobao.com/user-rate-UvCHYvm8yvFHLMgTT.htm,薇妮鸟防晒衣女夏季2015中长款长袖防晒衫防紫外线沙滩防晒服外套,http://detail.tmall.com/item.htm?id=43218522061&skuId=75077466861&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=2110521166&is_b=1,薇妮鸟旗舰店,广州丹卡服装贸易有限公司,http://img.alicdn.com/bao/uploaded/i2/TB1URKlHXXXXXaTapXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"广东省,  广州市",58.00
https://rate.taobao.com/user-rate-UvFg4vFx0OmN0MQTT.htm,嬉琦衬衫女长袖新款彩色彩虹条纹韩版清新雪纺衬衣S8511,http://detail.tmall.com/item.htm?id=45680499047&skuId=3103879029868&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1881648045&is_b=1,嬉琦旗舰店,广州市卡新服装有限公司,http://img.alicdn.com/bao/uploaded/i1/TB1F_AAJXXXXXceXXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"广东,  广州",78.00
https://rate.taobao.com/user-rate-UMGx0MFcSvm8Y.htm,夏装新款长袖衬衫女 印花雪纺衫女2015夏宽松女款雪纺上衣打底衫,http://detail.tmall.com/item.htm?id=44990312055&skuId=104763836466&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=764579051&is_b=1,toucino服饰旗舰店,,http://img.alicdn.com/bao/uploaded/i2/TB1H4vlJXXXXXa9XXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,杭州宾派贸易有限公司,69.00
https://rate.taobao.com/user-rate-UvCNuMmgLOmHbvgTT.htm,诗慕莎2015夏装新款韩版大码女装T恤宽松上衣圆领印花短袖体恤衫,http://detail.tmall.com/item.htm?id=45355813830&skuId=102740816999&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=2074868152&is_b=1,诗慕莎旗舰店,余姚市欧一美美服饰有限公司,http://img.alicdn.com/bao/uploaded/i1/TB1dJGnIFXXXXXfXpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"浙江省,  宁波市",59.00
https://rate.taobao.com/user-rate-UvFkLMCxSMGHWvNTT.htm,萌小雅2015秋圆领套头卫衣女长袖印花学生宽松大码学院风外套韩国,http://detail.tmall.com/item.htm?id=520866863828&skuId=3104074653654&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1966697100&is_b=1,萌小雅旗舰店,武汉福满溢商贸有限公司,http://img.alicdn.com/bao/uploaded/i1/TB1xNRKIpXXXXbKapXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"湖北,  武汉",79.00
https://rate.taobao.com/user-rate-UvCNLMmxyMGgYvgTT.htm,SUMU2015秋季新款外套女薄款韩版中长款显瘦宽松休闲拉链开衫风衣,http://detail.tmall.com/item.htm?id=521083027229&skuId=3105098926358&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&standard=1&user_id=2064627812&is_b=1,sumu素慕旗舰店,杭州浅年代信息科技有限公司,http://img.alicdn.com/bao/uploaded/i4/TB1gIu4IVXXXXb9aXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"浙江省,  杭州市",168.00
https://rate.taobao.com/user-rate-UMGxYOFHSMFHG.htm,梵琴坊2015秋装新款松紧腰牛仔裤女士小脚铅笔裤大码弹力显瘦女裤,http://detail.tmall.com/item.htm?id=40350189022&skuId=81749794546&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=761919513&is_b=1,梵琴坊服饰旗舰店,,http://img.alicdn.com/bao/uploaded/i2/TB1NZDMJXXXXXa0XpXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,北京樊氏华达商贸有限公司,85.00
https://rate.taobao.com/user-rate-UvFk4MFkbOFHbMQTT.htm,Katri Milen韩版春秋季大码长裤子 女九分裤胖mm休闲裤黑色哈伦裤,http://detail.tmall.com/item.htm?id=520493274060&skuId=3102336098891&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1985959155&is_b=1,katrimilen旗舰店,广州市简优服饰有限公司,http://img.alicdn.com/bao/uploaded/i3/TB1u07yJXXXXXXGaXXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"广东省,  广州市",69.00
https://rate.taobao.com/user-rate-UvCIbOFQSOF8uMQTT.htm,2015fivetozero夏装新款韩版两件套雪纺小香风印花女装气质套装裙,http://detail.tmall.com/item.htm?id=520025476973&skuId=3100116890787&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&standard=1&user_id=2259499575&is_b=1,fivetozero女装旗舰店,苏州妍贻贝服饰有限公司,http://img.alicdn.com/bao/uploaded/i4/TB1vzIXIXXXXXXWXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,"江苏省,  苏州市",59.00
https://rate.taobao.com/user-rate-UvFNGMFvyOmHyvNTT.htm,2015新款中老年人女装春秋外套针织开衫大码妈妈毛衣中年妇女上衣,http://detail.tmall.com/item.htm?id=40516451986&skuId=3104786417193&areaId=110000&cat_id=50025135&rn=f6f0b8ca972246ec6dc709cf93b84b54&user_id=1035328120&is_b=1,紫吉旗舰店,,http://img.alicdn.com/bao/uploaded/i1/TB1ufVVJpXXXXbHXFXXXXXXXXXX_!!0-item_pic.jpg_b.jpg,上海卓皇服饰有限公司,88.00
